0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
17089,22,29,40,54,73,99,135,183,248,337,457,620,840,1140
17093,4,5,6,8,10,13,16,20,25,32,40,51,64,81
17097,15,24,40,67,111,183,304,504,835,1383,2293,3800,6299,10440
17111,4,5,6,7,8,10,11,13,16,18,22,25,30,35
17113,3,3,4,4,5,5,6,7,8,9,10,11,12,14
17163,4,4,6,7,9,11,14,18,23,29,36,45,57,72
17167,2,3,3,3,3,4,4,4,5,5,6,6,7,7
17197,14,17,21,25,30,37,45,54,66,80,97,118,143,174
18003,3,3,3,4,4,4,5,6,6,7,8,9,10,11
18031,8,15,28,51,94,171,313,572,1046,1911,3493,6383,11665,21319
18039,6,9,15,23,35,54,83,129,199,308,476,736,1137,1757
18041,4,5,6,8,10,12,16,20,25,32,41,52,66,83
18047,11,15,20,26,34,44,58,76,99,130,171,224,293,384
18059,3,3,4,4,5,6,6,7,9,10,11,13,15,17
18067,2,3,3,4,4,5,6,6,7,9,10,11,13,15
18081,6,7,8,9,10,11,12,14,16,18,20,22,25,28
18089,20,32,53,87,142,232,380,622,1017,1663,2720,4449,7276,11901
18093,10,25,64,161,406,1024,2580,6502,16384,41285,104032,262144,660561,1664511
18095,8,13,19,28,41,62,92,137,204,303,452,673,1002,1493
18097,38,47,58,71,88,108,133,164,202,248,306,377,464,571
18167,3,4,4,5,7,8,10,12,14,18,22,26,32,39
19113,6,9,12,16,22,29,40,54,72,98,133,179,243,328
19183,3,5,6,8,11,14,18,24,32,42,56,74,97,128
20091,6,8,9,11,14,17,20,24,29,36,43,52,63,76
20177,3,4,4,5,7,8,10,12,14,18,22,26,32,39
20209,5,6,7,7,8,9,10,11,12,14,15,17,18,20
21067,7,8,10,12,15,18,22,27,32,39,47,57,69,83
21107,3,3,4,5,6,7,8,10,11,13,16,19,23,27
21111,18,23,28,35,44,55,68,85,106,132,164,205,255,317
21117,3,3,4,5,6,7,9,11,13,16,20,24,29,35
22005,14,18,23,31,40,53,69,91,119,157,205,269,354,464
22015,3,5,7,10,13,19,27,38,54,76,108,152,215,304
22017,20,28,38,51,70,96,131,178,243,332,453,618,843,1150
22031,2,3,3,4,4,5,6,7,8,9,11,13,15,17
22033,22,28,35,43,54,68,85,107,134,168,211,264,331,414
22045,6,13,27,56,117,243,505,1051,2187,4549,9463,19683,40942,85163
22047,6,8,10,12,15,18,23,28,35,43,53,66,82,102
22051,168,227,307,415,561,759,1027,1389,1878,2541,3437,4649,6288,8506
22055,3,4,4,5,7,8,10,12,14,18,22,26,32,39
22071,315,402,513,654,834,1064,1356,1729,2205,2812,3586,4573,5831,7435
22075,4,5,6,6,7,8,9,11,12,14,16,18,21,24
22079,5,6,8,9,11,14,17,20,25,30,36,44,53,65
22087,8,10,12,15,19,24,31,39,49,62,78,98,124,156
22089,15,20,26,34,44,58,76,99,130,171,224,294,385,505
22093,7,8,9,11,12,14,17,19,22,26,30,35,41,48
22095,28,38,50,66,88,117,156,207,274,365,485,644,855,1136
22097,3,3,5,6,8,11,14,18,24,32,42,56,74,97
22103,14,18,23,30,39,50,65,84,109,142,184,239,310,402
22109,2,3,3,4,5,6,7,8,10,11,13,16,19,23
22117,3,3,3,4,4,4,5,6,6,7,8,9,10,11
22119,2,3,3,3,4,4,5,5,6,7,8,8,10,11
22121,4,4,5,6,7,9,11,13,16,19,22,27,32,39
23005,12,16,22,30,41,57,78,106,145,199,273,373,510,699
24003,2,3,3,4,5,6,7,8,10,11,13,16,19,23
24005,3,4,5,5,6,7,8,9,10,11,13,15,17,19
24013,13,20,31,50,79,125,198,313,496,786,1245,1971,3121,4943
24017,3,4,5,6,7,9,11,13,16,20,24,29,35,43
24027,4,4,6,7,9,11,14,18,23,29,36,45,57,72
24031,7,8,10,13,16,20,24,30,37,46,57,71,88,110
24033,13,15,18,22,26,31,37,45,54,64,77,92,110,132
24510,3,4,4,5,5,6,7,8,9,10,11,12,14,15
25001,6,7,9,11,13,16,19,23,28,34,41,49,60,72
25003,12,15,18,22,26,32,38,46,56,67,81,98,119,143
25005,5,7,9,11,14,18,23,29,37,47,59,76,96,122
25009,40,58,83,119,170,244,350,502,720,1033,1482,2125,3049,4373
25011,15,21,28,39,53,72,99,134,183,250,341,465,635,866
25013,56,88,139,219,346,546,863,1364,2155,3404,5379,8498,13425,21210
25015,4,5,6,6,8,9,10,12,14,17,20,23,27,31
25017,54,74,101,137,186,253,344,467,635,864,1175,1597,2172,2953
25021,55,79,112,160,229,327,467,667,952,1359,1941,2772,3959,5654
25023,15,24,39,64,103,166,269,434,702,1135,1836,2968,4798,7757
25025,24,30,37,47,58,73,92,115,145,182,228,286,359,450
25027,18,22,28,34,43,53,66,82,101,126,156,194,241,299
26047,3,5,8,13,20,32,51,81,128,203,323,512,813,1290
26049,25,34,45,61,83,113,152,206,279,377,511,691,935,1266
26059,3,3,4,5,6,8,10,13,16,20,25,32,40,51
26073,3,3,4,5,6,8,10,13,16,20,25,32,40,51
26075,4,6,8,11,16,22,30,41,57,79,109,151,208,287
26081,3,5,6,8,11,14,18,24,32,42,56,74,97,128
26099,134,184,254,350,483,666,918,1265,1744,2404,3314,4569,6299,8684
26125,376,565,849,1276,1916,2878,4322,6492,9751,14646,21998,33041,49627,74540
26157,4,4,6,7,9,11,14,18,23,29,36,45,57,72
26161,11,13,15,18,21,24,27,32,37,43,49,57,66,77
26163,486,691,982,1396,1984,2820,4008,5696,8096,11507,16356,23248,33043,46966
27053,17,22,29,38,51,67,88,117,154,203,268,355,468,618
27091,4,5,6,7,8,10,12,14,17,20,24,29,35,41
27123,3,3,4,4,5,5,6,6,7,7,8,9,10,11
28139,3,4,4,5,6,7,8,9,10,12,13,15,17,20
28157,3,4,4,5,6,6,7,9,10,11,13,15,17,20
29077,10,12,14,17,21,25,30,37,44,53,64,77,92,111
29183,4,5,6,6,8,9,11,12,15,17,20,24,28,33
29189,4,5,5,6,7,7,8,9,11,12,13,15,17,19
30101,4,5,6,7,9,10,12,14,16,19,23,27,32,37
32003,59,75,94,119,150,189,238,301,380,479,604,763,962,1214
32031,10,14,21,30,42,60,86,124,177,253,361,517,739,1057
33011,5,6,7,8,9,10,12,14,16,19,22,26,30,35
34003,133,165,206,257,320,398,496,618,770,960,1195,1489,1855,2311
34005,11,13,16,20,25,31,39,48,60,74,92,114,141,175
34007,9,12,15,20,26,33,43,56,73,94,123,159,206,268
34013,145,194,261,350,470,632,848,1139,1529,2053,2757,3701,4970,6673
34015,3,4,4,5,6,7,9,10,12,15,17,21,25,29
34017,59,79,107,145,196,264,357,483,652,881,1190,1608,2173,2936
34021,12,23,41,74,135,246,447,811,1475,2680,4871,8852,16088,29238
34023,129,195,294,443,668,1006,1517,2286,3446,5194,7829,11800,17787,26810
34025,48,60,76,95,118,148,186,232,291,364,456,571,714,894
34027,79,109,150,206,284,390,536,737,1014,1395,1918,2638,3628,4989
34029,65,90,125,172,239,330,457,633,876,1213,1679,2324,3216,4452
34031,39,52,70,94,125,168,225,302,404,542,726,973,1304,1748
34033,3,4,6,8,11,16,23,32,45,64,91,128,181,256
34035,32,42,54,70,90,116,150,194,250,323,417,538,695,897
34037,20,35,60,104,178,307,530,913,1573,2710,4669,8045,13862,23886
34039,128,211,347,570,937,1541,2535,4168,6855,11273,18539,30487,50137,82451
34041,4,5,5,6,7,8,10,11,13,15,17,19,22,26
35001,14,21,33,50,78,119,184,283,435,669,1030,1584,2438,3751
35043,3,5,8,13,20,32,51,81,128,203,323,512,813,1290
36001,3,4,5,6,8,10,13,16,20,25,32,40,51,64
36007,6,7,8,10,11,13,15,18,20,24,27,32,37,43
36021,3,3,4,5,6,7,9,11,13,16,20,24,29,35
36027,7,9,10,12,14,17,20,24,28,34,40,47,56,66
36029,43,60,83,115,159,221,307,426,591,819,1137,1577,2188,3035
36043,5,6,7,9,11,13,16,20,24,30,36,44,54,67
36047,2103,3222,4937,7563,11588,17753,27199,41672,63845,97815,149861,229599,351765,538933
36053,3,3,4,4,5,5,6,7,8,9,10,11,12,14
36055,17,20,24,29,35,42,50,60,72,86,103,123,148,178
36059,254,348,478,655,898,1231,1688,2314,3173,4350,5964,8176,11210,15368
36061,385,491,627,800,1021,1303,1663,2122,2708,3455,4409,5626,7180,9162
36065,3,4,6,8,11,16,23,32,45,64,91,128,181,256
36067,2,3,3,4,4,5,6,6,7,9,10,11,13,15
36071,75,116,181,281,437,679,1056,1642,2552,3969,6170,9594,14917,23194
36081,1116,1465,1924,2527,3318,4358,5723,7515,9869,12961,17020,22352,29353,38547
36087,50,61,75,92,113,139,172,211,259,319,392,482,593,729
36093,9,12,17,25,36,51,73,105,149,214,306,437,625,894
36103,174,226,292,377,488,632,817,1057,1367,1769,2288,2959,3828,4952
36105,10,14,21,30,44,65,95,139,203,298,435,636,931,1361
36111,8,12,17,24,35,50,73,106,153,221,320,462,669,968
36119,183,277,419,634,959,1450,2193,3317,5017,7588,11477,17360,26257,39714
37081,6,13,27,56,117,243,505,1051,2187,4549,9463,19683,40942,85163
37119,3,3,5,6,8,11,14,18,24,32,42,56,74,97
39029,4,4,5,6,7,9,10,12,14,17,20,24,28,33
39035,15,19,24,29,36,45,56,70,87,108,134,167,207,257
39085,5,6,7,10,12,16,20,26,33,42,54,70,90,115
39093,4,5,6,8,10,13,16,20,25,32,40,51,64,81
39095,4,5,6,6,7,8,9,10,11,13,15,16,18,21
39099,25,36,51,73,104,149,213,305,436,624,892,1276,1825,2610
39109,16,20,25,32,40,51,65,82,104,132,168,213,270,342
39113,3,4,5,7,9,12,16,21,28,37,49,64,84,111
39133,4,6,9,13,18,26,37,53,76,110,158,226,325,466
39151,5,5,6,7,8,9,10,12,13,15,17,19,22,25
39153,20,28,39,54,76,106,148,206,287,400,558,777,1084,1511
39155,9,11,15,19,25,33,43,56,72,94,123,160,208,271
40027,16,21,27,34,43,55,71,90,116,148,189,241,308,393
40101,3,5,7,10,13,19,27,38,54,76,108,152,215,304
40109,16,20,26,32,41,52,65,83,105,132,167,212,268,339
40143,7,9,10,12,14,16,19,22,26,31,36,42,50,58
40145,3,4,5,6,7,9,11,13,16,20,24,29,35,43
41005,4,4,4,5,5,6,6,7,7,8,9,9,10,11
41043,3,3,4,4,4,5,6,6,7,8,9,10,11,13
41047,6,7,8,9,11,12,14,16,19,22,25,29,33,38
41051,3,4,4,4,5,5,6,6,6,7,8,8,9,10
41067,6,7,8,9,10,11,13,15,16,19,21,24,27,31
41071,6,8,11,14,18,24,32,42,55,72,95,124,163,215
42003,4,4,4,5,5,6,7,7,8,9,10,11,12,13
42007,4,6,8,11,16,23,32,45,64,91,128,181,256,362
42017,17,26,40,62,96,149,230,355,549,848,1309,2021,3122,4821
42019,4,4,5,6,7,8,9,11,13,15,17,20,24,27
42029,3,5,7,10,13,19,27,38,54,76,108,152,215,304
42041,2,3,4,4,5,7,8,10,12,14,18,22,26,32
42045,17,22,28,37,49,64,84,109,143,187,245,321,420,549
42069,5,5,6,7,8,9,10,12,13,15,17,19,22,25
42071,7,9,12,15,20,26,34,43,56,73,94,121,157,203
42073,4,4,6,7,9,11,14,18,23,29,36,45,57,72
42077,9,11,14,17,21,26,32,40,49,61,75,92,114,141
42079,8,10,12,14,18,22,27,33,40,50,61,75,92,113
42089,18,23,30,39,50,66,86,111,145,189,246,320,417,544
42091,18,24,30,39,51,65,84,109,140,180,233,300,386,498
42095,11,13,15,18,21,25,29,34,40,47,55,64,75,88
42101,32,46,65,91,129,183,259,366,518,733,1037,1467,2075,2936
45007,5,8,11,17,24,35,50,73,106,153,222,322,467,677
45013,3,5,6,8,11,14,18,24,32,42,56,74,97,128
45041,6,7,8,9,11,12,14,16,18,21,24,28,32,36
45045,2,3,4,4,5,7,8,10,12,14,18,22,26,32
45051,7,8,10,13,16,19,24,29,36,45,55,68,84,103
45055,3,4,5,5,6,7,9,10,12,14,16,19,22,25
45079,5,7,8,9,11,14,17,20,24,29,35,42,51,62
45085,4,5,5,6,7,8,9,10,11,13,15,17,19,21
47037,7,8,9,10,12,14,16,19,22,25,29,34,39,46
47065,4,5,5,7,8,9,11,13,15,18,21,25,30,36
47149,6,13,27,56,117,243,505,1051,2187,4549,9463,19683,40942,85163
47157,8,11,15,20,27,36,49,65,88,117,157,211,282,378
47165,23,36,58,94,151,243,390,627,1007,1619,2602,4183,6724,10807
48029,22,28,36,45,58,74,94,121,154,196,251,320,409,522
48041,6,9,12,16,22,29,40,54,72,98,133,179,243,328
48091,3,3,4,5,5,6,7,9,10,12,14,16,19,22
48113,40,51,64,82,104,132,168,213,270,343,436,553,703,892
48121,8,11,14,18,23,29,38,48,62,80,102,131,168,216
48157,3,4,5,6,7,9,11,13,16,20,24,29,35,43
48201,9,11,13,15,18,22,26,32,38,45,54,65,77,92
48303,4,6,8,10,13,17,23,30,39,51,67,88,115,151
48321,2,2,3,3,3,3,3,4,4,4,5,5,5,6
48339,4,5,7,9,12,15,20,26,34,45,59,77,101,132
48439,7,9,11,13,15,19,23,27,33,40,48,58,70,85
48453,4,5,7,9,11,14,18,23,30,38,48,61,78,100
48479,8,12,19,30,48,75,118,187,294,464,731,1152,1815,2861
49035,5,7,9,11,14,18,23,29,37,48,61,78,100,127
50007,20,25,30,36,44,54,66,80,98,119,145,176,215,261
51087,31,42,56,75,101,136,183,246,331,446,599,806,1084,1459
51095,3,3,4,4,4,4,5,5,5,6,6,7,7,7
51760,4,6,7,8,10,12,15,19,23,28,34,42,51,63
53007,3,3,4,5,6,7,8,10,11,13,16,19,23,27
53011,8,9,10,10,11,12,13,14,15,16,17,18,20,21
53029,4,5,6,6,7,8,10,11,13,15,17,19,22,25
53033,463,533,613,706,812,935,1076,1239,1426,1641,1888,2173,2501,2879
53053,16,20,24,30,37,46,57,70,86,106,131,162,199,246
53057,7,9,11,13,16,19,23,28,34,42,51,61,75,91
53063,10,12,15,19,24,31,39,49,62,78,98,124,157,198
53077,9,11,13,16,20,25,30,37,45,56,68,84,103,127
55025,4,5,7,8,10,12,15,18,22,27,33,41,50,61
55039,3,3,3,3,4,4,4,5,5,6,6,7,7,8
55079,20,24,29,35,42,50,60,73,88,105,127,153,184,221
55089,6,7,8,9,11,13,15,17,19,22,26,30,35,40
55111,3,3,4,5,6,7,8,10,11,13,16,19,23,27
