countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
17031,217.0,377.0,452.0,402.0,389.0,486.0,247.0,397.0,419.0,307.0,263.0,303.0,335.0,269.0
36061,85.0,67.0,12.0,10.0,20.0,4.0,31.0,-8.0,-1.0,-38.0,-33.0,-42.0,-18.0,22.0
