countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
17031,333.0,309.0,305.0,292.0,339.0,506.0,498.0,282.0,418.0,563.0,510.0,375.0,332.0,387.0
36061,360.0,424.0,405.0,444.0,373.0,280.0,347.0,342.0,297.0,212.0,283.0,316.0,336.0,292.0
36103,-126.0,-153.0,-122.0,-142.0,-111.0,-175.0,-230.0,-4.0,-87.0,-148.0,-168.0,-66.0,-47.0,-60.0
